convoID,ambientVariant,processedVolume,technology,model,fileName,sem_cos_denis
30013825,insideAmbulance,-15dBFS,whisper,large,whisper_large_30013825_insideAmbulance_-15dBFS.json,0.956714758905674
30013825,insideAmbulance,-20dBFS,whisper,large,whisper_large_30013825_insideAmbulance_-20dBFS.json,0.973913927233052
30013825,insideAmbulance,-25dBFS,whisper,large,whisper_large_30013825_insideAmbulance_-25dBFS.json,0.9768835832483451
30013825,insideAmbulance,-30dBFS,whisper,large,whisper_large_30013825_insideAmbulance_-30dBFS.json,0.982915460255639
30013825,insideAmbulance,-35dBFS,whisper,large,whisper_large_30013825_insideAmbulance_-35dBFS.json,0.9823515873873521
30013825,insideCrowded,-15dBFS,whisper,large,whisper_large_30013825_insideCrowded_-15dBFS.json,0.9287888137262781
30013825,insideCrowded,-20dBFS,whisper,large,whisper_large_30013825_insideCrowded_-20dBFS.json,0.9792770607362471
30013825,insideCrowded,-25dBFS,whisper,large,whisper_large_30013825_insideCrowded_-25dBFS.json,0.979170119860671
30013825,insideCrowded,-30dBFS,whisper,large,whisper_large_30013825_insideCrowded_-30dBFS.json,0.97801045078905
30013825,insideCrowded,-35dBFS,whisper,large,whisper_large_30013825_insideCrowded_-35dBFS.json,0.975353566616967
30013825,talking,-15dBFS,whisper,large,whisper_large_30013825_talking_-15dBFS.json,0.969902417653908
30013825,talking,-20dBFS,whisper,large,whisper_large_30013825_talking_-20dBFS.json,0.984716155250797
30013825,talking,-25dBFS,whisper,large,whisper_large_30013825_talking_-25dBFS.json,0.9767635993450501
30013825,talking,-30dBFS,whisper,large,whisper_large_30013825_talking_-30dBFS.json,0.9808485235049551
30013825,talking,-35dBFS,whisper,large,whisper_large_30013825_talking_-35dBFS.json,0.9786922514932971
30013825,trafficOutside,-15dBFS,whisper,large,whisper_large_30013825_trafficOutside_-15dBFS.json,0.9812823092604631
30013825,trafficOutside,-20dBFS,whisper,large,whisper_large_30013825_trafficOutside_-20dBFS.json,0.979927238385052
30013825,trafficOutside,-25dBFS,whisper,large,whisper_large_30013825_trafficOutside_-25dBFS.json,0.9782466052688131
30013825,trafficOutside,-30dBFS,whisper,large,whisper_large_30013825_trafficOutside_-30dBFS.json,0.9833756335621531
30013825,trafficOutside,-35dBFS,whisper,large,whisper_large_30013825_trafficOutside_-35dBFS.json,0.971585278879692
30114157,insideAmbulance,-15dBFS,whisper,large,whisper_large_30114157_insideAmbulance_-15dBFS.json,0.9778116533741911
30114157,insideAmbulance,-20dBFS,whisper,large,whisper_large_30114157_insideAmbulance_-20dBFS.json,0.9832934287066771
30114157,insideAmbulance,-25dBFS,whisper,large,whisper_large_30114157_insideAmbulance_-25dBFS.json,0.982016494352919
30114157,insideAmbulance,-30dBFS,whisper,large,whisper_large_30114157_insideAmbulance_-30dBFS.json,0.9854832306404211
30114157,insideAmbulance,-35dBFS,whisper,large,whisper_large_30114157_insideAmbulance_-35dBFS.json,0.9825376628455701
30114157,insideCrowded,-15dBFS,whisper,large,whisper_large_30114157_insideCrowded_-15dBFS.json,0.9192493577713171
30114157,insideCrowded,-20dBFS,whisper,large,whisper_large_30114157_insideCrowded_-20dBFS.json,0.9718108615774811
30114157,insideCrowded,-25dBFS,whisper,large,whisper_large_30114157_insideCrowded_-25dBFS.json,0.9862990985460721
30114157,insideCrowded,-30dBFS,whisper,large,whisper_large_30114157_insideCrowded_-30dBFS.json,0.9846476793642471
30114157,insideCrowded,-35dBFS,whisper,large,whisper_large_30114157_insideCrowded_-35dBFS.json,0.987025971763789
30114157,talking,-15dBFS,whisper,large,whisper_large_30114157_talking_-15dBFS.json,0.9824950285592401
30114157,talking,-20dBFS,whisper,large,whisper_large_30114157_talking_-20dBFS.json,0.983909220418664
30114157,talking,-25dBFS,whisper,large,whisper_large_30114157_talking_-25dBFS.json,0.9729236813149381
30114157,talking,-30dBFS,whisper,large,whisper_large_30114157_talking_-30dBFS.json,0.9846733749710631
30114157,talking,-35dBFS,whisper,large,whisper_large_30114157_talking_-35dBFS.json,0.976170093427243
30114157,trafficOutside,-15dBFS,whisper,large,whisper_large_30114157_trafficOutside_-15dBFS.json,0.96768857590458
30114157,trafficOutside,-20dBFS,whisper,large,whisper_large_30114157_trafficOutside_-20dBFS.json,0.9767038445646191
30114157,trafficOutside,-25dBFS,whisper,large,whisper_large_30114157_trafficOutside_-25dBFS.json,0.9846129868052891
30114157,trafficOutside,-30dBFS,whisper,large,whisper_large_30114157_trafficOutside_-30dBFS.json,0.9591563924525071
30114157,trafficOutside,-35dBFS,whisper,large,whisper_large_30114157_trafficOutside_-35dBFS.json,0.9841826736969481
30238398,insideAmbulance,-15dBFS,whisper,large,whisper_large_30238398_insideAmbulance_-15dBFS.json,0.962926006226073
30238398,insideAmbulance,-20dBFS,whisper,large,whisper_large_30238398_insideAmbulance_-20dBFS.json,0.9795356119204541
30238398,insideAmbulance,-25dBFS,whisper,large,whisper_large_30238398_insideAmbulance_-25dBFS.json,0.9765000307921171
30238398,insideAmbulance,-30dBFS,whisper,large,whisper_large_30238398_insideAmbulance_-30dBFS.json,0.9935280609756131
30238398,insideAmbulance,-35dBFS,whisper,large,whisper_large_30238398_insideAmbulance_-35dBFS.json,0.9767937929026911
30238398,insideCrowded,-15dBFS,whisper,large,whisper_large_30238398_insideCrowded_-15dBFS.json,0.9109229792302491
30238398,insideCrowded,-20dBFS,whisper,large,whisper_large_30238398_insideCrowded_-20dBFS.json,0.9768562485824491
30238398,insideCrowded,-25dBFS,whisper,large,whisper_large_30238398_insideCrowded_-25dBFS.json,0.9885171129124021
30238398,insideCrowded,-30dBFS,whisper,large,whisper_large_30238398_insideCrowded_-30dBFS.json,0.9812149809533681
30238398,insideCrowded,-35dBFS,whisper,large,whisper_large_30238398_insideCrowded_-35dBFS.json,0.9853841497626801
30238398,talking,-15dBFS,whisper,large,whisper_large_30238398_talking_-15dBFS.json,0.971384704241469
30238398,talking,-20dBFS,whisper,large,whisper_large_30238398_talking_-20dBFS.json,0.9759428765579591
30238398,talking,-25dBFS,whisper,large,whisper_large_30238398_talking_-25dBFS.json,0.9782842888216331
30238398,talking,-30dBFS,whisper,large,whisper_large_30238398_talking_-30dBFS.json,0.988594719951655
30238398,talking,-35dBFS,whisper,large,whisper_large_30238398_talking_-35dBFS.json,0.9762641147209581
