model,technology,mean,median,std,min,max
gsw-CH_smoothed,recapp,85.28321399706371,87.30580945702535,8.344151930329014,38.89304798857811,95.82274135485852
large,whisper,79.76933755816245,81.18033564243581,8.291796213517134,39.73964623044408,94.4427620358282
medium,whisper,80.49236142219972,82.51533601885885,9.199742802424115,33.921019343875614,94.48268408007154
turbo,whisper,81.82687035004528,84.0284449685912,9.320628156977671,38.518476542011875,94.63505323521584
vosk-model-de-0.21,vosk,13.465349066030234,14.468284615393138,4.251786135544885,0.2939986711902712,22.185857568710297
whisper_rescuespeech,whisper_v2,0.0103225491371236,0.00809991521634975,0.005209566995348053,0.0003487931597765,0.0265195352201721
