model,technology,mean,median,std,min,max
gsw-CH_smoothed,recapp,0.9824774892138405,0.986725157977334,0.01498244900087107,0.8896920484847041,0.998216528430556
large,whisper,0.9771064269859401,0.982577250463558,0.018585481053498425,0.8202706681171671,0.997724160069868
medium,whisper,0.9751567938839283,0.9815417080172726,0.02130158570187943,0.8277938436247091,0.997927849636172
turbo,whisper,0.9686622957253492,0.978965381367464,0.0299734471185216,0.774932245032047,0.9984884196721412
vosk-model-de-0.21,vosk,0.9457466252449822,0.9597156593759991,0.04394093062407508,0.696642367472736,0.9935696993776072
whisper_rescuespeech,whisper_v2,0.9021022530712421,0.9124929063732855,0.04158290998038243,0.646001411191044,0.95878066580612
