model,technology,mean,median,std,min,max
gsw-CH_smoothed,recapp,0.08848154487532132,0.0679611650485436,0.07565618113532406,0.0,0.5168539325842697
large,whisper,0.12385239986431218,0.1058823529411764,0.07953451835809737,0.0,0.5145631067961165
medium,whisper,0.12825354560312938,0.1025641025641025,0.09592093330944725,0.0071942446043165,0.6818181818181818
turbo,whisper,0.11442733973232337,0.0875,0.09447018087801123,0.0,0.6263736263736264
vosk-model-de-0.21,vosk,0.1711883364244964,0.1145833333333333,0.14322168585564465,0.0,0.6875
whisper_rescuespeech,whisper_v2,0.4325771458094446,0.4285714285714285,0.06998104223530736,0.2474226804123711,0.6883116883116883
