technology,model,mean,median,std,min,max
recapp,gsw-CH_smoothed,0.8564010399521514,0.9112104218963442,0.14814910062230216,0.1217303515871124,0.9965028418440782
vosk,vosk-model-de-0.21,0.6268372312277,0.6840378935455397,0.23855627250819597,0.0499870437834593,0.9652340447926676
whisper,large,0.7656877721077092,0.8564524511743461,0.21910576324312867,0.0905001946320597,0.98413782260702
whisper,medium,0.6952665467858158,0.817346643373023,0.2600815124817121,0.0414543742100001,0.9869257089996633
whisper,turbo,0.7406595768712065,0.8615925071371433,0.2502229869674612,0.0613503608666831,0.9829230376736346
whisper_v2,whisper_rescuespeech,0.18001850160292435,0.148074195350865,0.11475130169164496,0.007960046526988,0.7289078405593833
