convoID,ambientVariant,processedVolume,technology,model,lex_cosine_sim
30013825,insideAmbulance,-15dBFS,whisper,large,0.6450918085720734
30013825,insideAmbulance,-20dBFS,whisper,large,0.6228138049514113
30013825,insideAmbulance,-25dBFS,whisper,large,0.6415070279160727
30013825,insideAmbulance,-30dBFS,whisper,large,0.7382820194941547
30013825,insideAmbulance,-35dBFS,whisper,large,0.586452343545061
30013825,insideCrowded,-15dBFS,whisper,large,0.24466270871972448
30013825,insideCrowded,-20dBFS,whisper,large,0.743407171067448
30013825,insideCrowded,-25dBFS,whisper,large,0.6812623597435257
30013825,insideCrowded,-30dBFS,whisper,large,0.6668371441817882
30013825,insideCrowded,-35dBFS,whisper,large,0.647762882798381
30013825,talking,-15dBFS,whisper,large,0.6685245533487376
30013825,talking,-20dBFS,whisper,large,0.7297648576522375
30013825,talking,-25dBFS,whisper,large,0.6498497281290876
30013825,talking,-30dBFS,whisper,large,0.7136917750423364
30013825,talking,-35dBFS,whisper,large,0.660020064880013
30013825,trafficOutside,-15dBFS,whisper,large,0.5826292749517258
30013825,trafficOutside,-20dBFS,whisper,large,0.6644432279416799
30013825,trafficOutside,-25dBFS,whisper,large,0.6790546040411152
30013825,trafficOutside,-30dBFS,whisper,large,0.6870205105702041
30013825,trafficOutside,-35dBFS,whisper,large,0.6623207929559132
30114157,insideAmbulance,-15dBFS,whisper,large,0.9032091017081662
30114157,insideAmbulance,-20dBFS,whisper,large,0.9349932758371476
30114157,insideAmbulance,-25dBFS,whisper,large,0.9487047527187642
30114157,insideAmbulance,-30dBFS,whisper,large,0.9588458818488685
30114157,insideAmbulance,-35dBFS,whisper,large,0.9487756534128504
30114157,insideCrowded,-15dBFS,whisper,large,0.47036588847358746
30114157,insideCrowded,-20dBFS,whisper,large,0.9195170654806717
30114157,insideCrowded,-25dBFS,whisper,large,0.9446185570654809
30114157,insideCrowded,-30dBFS,whisper,large,0.9548266933773353
30114157,insideCrowded,-35dBFS,whisper,large,0.9503962790202588
30114157,talking,-15dBFS,whisper,large,0.9117247150539015
30114157,talking,-20dBFS,whisper,large,0.9285619655872007
30114157,talking,-25dBFS,whisper,large,0.9697376008148824
30114157,talking,-30dBFS,whisper,large,0.9692278108763643
30114157,talking,-35dBFS,whisper,large,0.9291067920113432
30114157,trafficOutside,-15dBFS,whisper,large,0.9259055818476337
30114157,trafficOutside,-20dBFS,whisper,large,0.9461245558858897
30114157,trafficOutside,-25dBFS,whisper,large,0.9431542705547233
30114157,trafficOutside,-30dBFS,whisper,large,0.9214182756038182
30114157,trafficOutside,-35dBFS,whisper,large,0.9610229612099884
30238398,insideAmbulance,-15dBFS,whisper,large,0.851862286375904
30238398,insideAmbulance,-20dBFS,whisper,large,0.9177530613324997
30238398,insideAmbulance,-25dBFS,whisper,large,0.9027332089998499
30238398,insideAmbulance,-30dBFS,whisper,large,0.9829198832702969
30238398,insideAmbulance,-35dBFS,whisper,large,0.9316164517758062
30238398,insideCrowded,-15dBFS,whisper,large,0.6360387026239411
30238398,insideCrowded,-20dBFS,whisper,large,0.9402615375044309
30238398,insideCrowded,-25dBFS,whisper,large,0.9200563717630623
30238398,insideCrowded,-30dBFS,whisper,large,0.8491917661775594
30238398,insideCrowded,-35dBFS,whisper,large,0.9694162804794841
30238398,talking,-15dBFS,whisper,large,0.8954596833857655
30238398,talking,-20dBFS,whisper,large,0.9233305471503915
30238398,talking,-25dBFS,whisper,large,0.9179080320258046
30238398,talking,-30dBFS,whisper,large,0.9654535552184232
30238398,talking,-35dBFS,whisper,large,0.954728127471038
30238398,trafficOutside,-15dBFS,whisper,large,0.9362453257499458
30238398,trafficOutside,-20dBFS,whisper,large,0.9249448562586633
30238398,trafficOutside,-25dBFS,whisper,large,0.9368178703066312
30238398,trafficOutside,-30dBFS,whisper,large,0.9469898823618037
30238398,trafficOutside,-35dBFS,whisper,large,0.9131044709270186
30328724,insideAmbulance,-15dBFS,whisper,large,0.78748326234587
30328724,insideAmbulance,-20dBFS,whisper,large,0.8650426801839515
30328724,insideAmbulance,-25dBFS,whisper,large,0.9065306380918289
30328724,insideAmbulance,-30dBFS,whisper,large,0.9203420831329551
30328724,insideAmbulance,-35dBFS,whisper,large,0.9214611740870219
30328724,insideCrowded,-15dBFS,whisper,large,0.586868514844023
30328724,insideCrowded,-20dBFS,whisper,large,0.7771185865755661
30328724,insideCrowded,-25dBFS,whisper,large,0.8730448950390474
30328724,insideCrowded,-30dBFS,whisper,large,0.9115300359354457
30328724,insideCrowded,-35dBFS,whisper,large,0.8516889224881667
30328724,talking,-15dBFS,whisper,large,0.8024033424614372
30328724,talking,-20dBFS,whisper,large,0.9141916208132316
30328724,talking,-25dBFS,whisper,large,0.8514330365790458
30328724,talking,-30dBFS,whisper,large,0.857483739707734
30328724,talking,-35dBFS,whisper,large,0.9209551034706398
30328724,trafficOutside,-15dBFS,whisper,large,0.8328850009150173
30328724,trafficOutside,-20dBFS,whisper,large,0.9067939661654902
30328724,trafficOutside,-25dBFS,whisper,large,0.9036620217356991
30328724,trafficOutside,-30dBFS,whisper,large,0.9187195089471812
30328724,trafficOutside,-35dBFS,whisper,large,0.9237634433963439
30394981,insideAmbulance,-15dBFS,whisper,large,0.790211658009284
30394981,insideAmbulance,-20dBFS,whisper,large,0.7830222921208512
30394981,insideAmbulance,-25dBFS,whisper,large,0.9481661861365269
30394981,insideAmbulance,-30dBFS,whisper,large,0.8694267943951854
30394981,insideAmbulance,-35dBFS,whisper,large,0.9613109699628991
30394981,insideCrowded,-15dBFS,whisper,large,0.5705384771183718
30394981,insideCrowded,-20dBFS,whisper,large,0.8548404795303003
30394981,insideCrowded,-25dBFS,whisper,large,0.9283813312825691
30394981,insideCrowded,-30dBFS,whisper,large,0.924672284311692
30394981,insideCrowded,-35dBFS,whisper,large,0.9293468754975509
30394981,talking,-15dBFS,whisper,large,0.9123010067237434
30394981,talking,-20dBFS,whisper,large,0.9486882097951121
30394981,talking,-25dBFS,whisper,large,0.9482648613317309
30394981,talking,-30dBFS,whisper,large,0.9474304001816197
30394981,talking,-35dBFS,whisper,large,0.9654294083296276
30394981,trafficOutside,-15dBFS,whisper,large,0.9117116742065029
30394981,trafficOutside,-20dBFS,whisper,large,0.9489125223288195
30394981,trafficOutside,-25dBFS,whisper,large,0.9481856344800162
30394981,trafficOutside,-30dBFS,whisper,large,0.9502198387770491
30394981,trafficOutside,-35dBFS,whisper,large,0.9624761068183014
30414683,insideAmbulance,-15dBFS,whisper,large,0.5950152395942521
30414683,insideAmbulance,-20dBFS,whisper,large,0.5045265373635837
30414683,insideAmbulance,-25dBFS,whisper,large,0.8327290160015081
30414683,insideAmbulance,-30dBFS,whisper,large,0.4508421751126392
30414683,insideAmbulance,-35dBFS,whisper,large,0.9295387361765924
30414683,insideCrowded,-15dBFS,whisper,large,0.6908652202012839
30414683,insideCrowded,-20dBFS,whisper,large,0.7393277556626555
30414683,insideCrowded,-25dBFS,whisper,large,0.4599881886601127
30414683,insideCrowded,-30dBFS,whisper,large,0.576566076319203
30414683,insideCrowded,-35dBFS,whisper,large,0.9338818438179477
30414683,talking,-15dBFS,whisper,large,0.8093872418623356
30414683,talking,-20dBFS,whisper,large,0.9050222654197057
