technology,model,mean,median,std,min,max
recapp,gsw-CH_smoothed,0.08251714043660159,0.06086701425683095,0.07376528919941099,0.0152998776009791,0.5365853658536586
vosk,vosk-model-de-0.21,0.2388924917380084,0.1605010049563817,0.18187826923997533,0.0426599749058971,0.851985559566787
whisper,large,0.1574306034819194,0.14298499865983083,0.0836792901639299,0.0222612770943175,0.5930313588850175
whisper,medium,0.12191195165595708,0.10122433517059926,0.08509037827885112,0.0210589651022864,0.6738675958188153
whisper,turbo,0.10819907695300873,0.08338284016304284,0.08879461816518718,0.0228471001757469,0.6550522648083623
whisper_v2,whisper_rescuespeech,0.6009003037899787,0.5797228665737502,0.0990373411307828,0.4288145207033466,0.9213349225268176
